name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
羞耻,7.3,70193,史蒂夫·麦奎因,2011,101.0,英国,英语,剧情,情色,迈克尔·法斯宾德,凯瑞·穆里根
超能敢死队,5.9,23958,保罗·费格,2016,116.0,美国,英语,喜剧,动作,梅丽莎·麦卡西,克里斯汀·韦格
猎神：冬日之战,5.4,26192,塞德里克·萨科,2016,114.0,美国,英语,动作,奇幻,克里斯·海姆斯沃斯,查理兹·塞隆
简爱,7.4,50171,凯瑞·福永,2011,120.0,英国,英语,剧情,爱情,迈克尔·法斯宾德,米娅·华希科沃斯卡
独行侠,7.0,59163,戈尔·维宾斯基,2013,149.0,美国,英语,动作,西部,约翰尼·德普,艾米·汉莫
叶问：终极一战,6.2,19531,邱礼涛,2013,100.0,中国大陆,汉语普通话,剧情,动作,黄秋生,曾志伟
飓风奇劫,5.9,11209,罗伯·科恩,2018,103.0,美国,英语,动作,惊悚,托比·凯贝尔,玛姬·格蕾斯
饭局也疯狂,5.0,32680,尚敬,2012,100.0,中国大陆,汉语普通话,剧情,喜剧,范伟,黄渤
女汉子真爱公式,4.9,14564,郭大雷,2016,93.0,中国大陆,汉语普通话,喜剧,爱情,赵丽颖,张翰
神战：权力之眼,6.5,35397,亚历克斯·普罗亚斯,2016,127.0,美国,英语,动作,奇幻,尼古拉·科斯特-瓦尔道,布伦顿·思韦茨
硬汉2：奉陪到底,6.4,30061,丁晟,2011,90.0,中国大陆,汉语普通话,动作,爱情,刘烨,焦恩俊
巴霍巴利王：开端,7.3,30970,S·S·拉贾穆里,2015,129.0,印度,泰卢固语,剧情,动作,帕拉巴斯,拉纳·达格巴提
大唐玄奘,5.2,19772,霍建起,2016,120.0,中国大陆,汉语普通话,历史,历史,黄晓明,徐峥
秦时明月之龙腾万里,6.8,23424,沈乐平,2014,98.0,中国大陆,汉语普通话,动画,奇幻,冯骏骅,季冠霖
HOLD住爱,3.4,19549,张琦,2012,98.0,中国大陆,汉语普通话,喜剧,爱情,杨幂,刘恺威
