name,rate,rating_people,director,year,movietime,main_country,main_language,main_genre,second_genre,main_actor,second_actor
心灵投手,7.8,1397,约翰·李·汉考克,2002,127,美国,英语,剧情,运动,丹尼斯·奎德,瑞切尔·格里菲斯
林肯公园：革命之路,9.4,1514,Blue Leach,2008,86,美国,英语,歌舞,歌舞,查斯特·班宁顿,罗伯·波顿
H庄园的一次午餐,8.0,1420,大卫·摩尔,2003,94,英国,英语,剧情,爱情,大卫·苏切,戴安娜·奎克
西游记,5.1,1487,泽田镰作,2007,120,日本,日语,历史,冒险,香取慎吾,深津絵里
摇滚巨星,7.6,1370,斯蒂芬·赫瑞克,2001,105,美国,英语,剧情,喜剧,马克·沃尔伯格,詹妮弗·安妮斯顿
蝴蝶,6.8,1172,张作骥,2007,122,台湾,汉语普通话,剧情,剧情,曾一哲,陈佩君
机动战士Z高达：星之继承者,8.2,1524,富野由悠季,2005,95,日本,日语,动画,动画,飞田展男,池田秀一
盗版爱情,5.3,1496,李智,2009,85,中国大陆,汉语普通话,剧情,喜剧,黄圣依,杨子
山樱,8.1,1486,筱原哲雄,2008,99,日本,日语,剧情,剧情,田中丽奈,东山纪之
背马鞍的男孩,7.8,1418,莎米拉·玛克玛尔巴夫,2008,101,伊朗,波斯语,剧情,剧情,ZiyaMirzaMohamad,HaronAhad
笑傲江湖,8.0,1526,黄健中,2003,112,中国大陆,汉语普通话,剧情,动作,李亚鹏,许晴
极速酷客,6.4,1404,乔瑟夫·卡恩,2004,84,美国,英语,动作,犯罪,阿达姆·斯科特,杰米·普莱斯利
求精心切,5.8,1405,Eric Styles,2008,104,英国,英语,喜剧,爱情,海瑟·格拉汉姆,米娅·科施娜
敲开我心门,7.8,1286,吉安尼·阿梅利奥,2004,105,意大利,意大利语,剧情,剧情,吉姆·罗斯·斯图尔特,夏洛特·兰普林
物归原主,7.1,1402,理查德·阿滕伯勒,2007,118,英国,英语,剧情,爱情,雪莉·麦克雷恩,克里斯托弗·普卢默
冰与火,4.3,1475,皮托夫,2008,84,罗马尼亚,英语,剧情,奇幻,艾米·阿克,汤姆·威斯多姆
当男人看上男人,7.3,1431,Bernard Rapp,2000,90,法国,法语,剧情,惊悚,贝纳·纪欧多,让-皮耶·罗利特
异虫咒,4.6,1452,Jonas Quastel,2008,90,加拿大,英语,科幻,悬疑,RussellFerrier,RobynLedoux
麻木,7.2,1386,哈里斯·古德伯格,2007,93,加拿大,英语,剧情,喜剧,马修·派瑞,鲍勃·冈顿
农家小屋,6.5,1473,Paul Andrew Williams,2008,92,英国,英语,喜剧,惊悚,安迪·瑟金斯,詹妮弗·艾莉森
十分钟情,6.4,1419,麦子善,2008,110,香港,粤语,剧情,喜剧,吴嘉龙,阿曼达·斯特朗
明媚时光,6.4,1418,翁子光,2009,133,香港,粤语,剧情,剧情,太保,翁家軒
极地营救,4.9,1352,张建亚,2002,100,中国大陆,英语,剧情,剧情,邵兵,顿珠多吉
为了霍洛维茨,7.5,1369,权炯辰,2006,108,韩国,韩语,剧情,剧情,严正化,朴勇宇
B420,7.6,1247,邓汉强,2005,85,香港,粤语,剧情,喜剧,杨爱瑾,李灿森
天使,6.5,1300,宮坂まゆみ,2006,117,日本,日语,爱情,奇幻,深田恭子,永作博美
大麻烦,7.2,1360,巴里·索南菲尔德,2002,85,美国,英语,喜剧,惊悚,蒂姆·艾伦,蕾妮·罗素
贴身兄弟,7.2,1455,博比·法雷里,2003,118,美国,英语,喜剧,喜剧,马特·达蒙,格雷戈·金尼尔
窒色,6.5,1425,克拉克·格雷格,2008,92,美国,英语,剧情,喜剧,山姆·洛克威尔,安杰丽卡·休斯顿
没教养的家伙,7.4,1353,朴哲熙,2006,113,韩国,韩语,喜剧,动作,尹智慧,申河均
交战规则,7.3,1488,威廉·弗莱德金,2000,128,美国,英语,剧情,动作,汤米·李·琼斯,塞缪尔·杰克逊
